r,fraction_edited,generations
0.11,0,0
0.11,0.11,1
0.11,0.2079,2
0.11,0.295031,3
0.11,0.37257759,4
0.11,0.441594055,5
0.11,0.503018709,6
0.11,0.557686651,7
0.11,0.606341119,8
0.11,0.649643596,9
0.11,0.688182801,10
0.11,0.722482693,11
0.11,0.753009596,12
0.11,0.780178541,13
0.11,0.804358901,14
0.11,0.825879422,15
0.11,0.845032686,16
0.11,0.86207909,17
0.11,0.87725039,18
0.11,0.890752847,19
0.11,0.902770034,20
0.11,0.91346533,21
0.11,0.922984144,22
0.11,0.931455888,23
0.11,0.938995741,24
0.11,0.945706209,25
0.11,0.951678526,26
0.11,0.956993888,27
0.11,0.961724561,28
0.11,0.965934859,29
0.11,0.969682024,30
0.11,0.973017002,31
0.11,0.975985132,32
0.11,0.978626767,33
0.11,0.980977823,34
0.11,0.983070262,35
0.11,0.984932533,36
0.11,0.986589955,37
0.11,0.98806506,38
0.11,0.989377903,39
0.11,0.990546334,40
0.11,0.991586237,41
0.11,0.992511751,42
0.11,0.993335458,43
0.11,0.994068558,44
0.11,0.994721017,45
0.11,0.995301705,46
0.11,0.995818517,47
0.11,0.99627848,48
0.11,0.996687847,49
0.11,0.997052184,50
0.11,0.997376444,51
0.11,0.997665035,52
0.11,0.997921881,53
0.11,0.998150474,54
0.11,0.998353922,55
0.11,0.998534991,56
0.11,0.998696142,57
0.11,0.998839566,58
0.11,0.998967214,59
0.11,0.99908082,60
0.11,0.99918193,61
0.11,0.999271918,62
0.11,0.999352007,63
0.11,0.999423286,64
0.11,0.999486725,65
0.11,0.999543185,66
0.11,0.999593435,67
0.11,0.999638157,68
0.11,0.99967796,69
0.11,0.999713384,70
0.11,0.999744912,71
0.11,0.999772971,72
0.11,0.999797945,73
0.11,0.999820171,74
0.11,0.999839952,75
0.11,0.999857557,76
0.11,0.999873226,77
0.11,0.999887171,78
0.11,0.999899582,79
0.11,0.999910628,80
0.11,0.999920459,81
0.11,0.999929209,82
0.11,0.999936996,83
0.11,0.999943926,84
0.11,0.999950094,85
0.11,0.999955584,86
0.11,0.99996047,87
0.11,0.999964818,88
0.11,0.999968688,89
0.11,0.999972132,90
0.11,0.999975198,91
0.11,0.999977926,92
0.11,0.999980354,93
0.11,0.999982515,94
0.11,0.999984439,95
0.11,0.99998615,96
0.11,0.999987674,97
0.11,0.99998903,98
0.11,0.999990236,99
0.11,0.99999131,100
0.09,0,0
0.09,0.09,1
0.09,0.1719,2
0.09,0.246429,3
0.09,0.31425039,4
0.09,0.375967855,5
0.09,0.432130748,6
0.09,0.483238981,7
0.09,0.529747472,8
0.09,0.5720702,9
0.09,0.610583882,10
0.09,0.645631333,11
0.09,0.677524513,12
0.09,0.706547306,13
0.09,0.732958049,14
0.09,0.756991824,15
0.09,0.77886256,16
0.09,0.79876493,17
0.09,0.816876086,18
0.09,0.833357238,19
0.09,0.848355087,20
0.09,0.862003129,21
0.09,0.874422848,22
0.09,0.885724791,23
0.09,0.89600956,24
0.09,0.9053687,25
0.09,0.913885517,26
0.09,0.92163582,27
0.09,0.928688596,28
0.09,0.935106623,29
0.09,0.940947027,30
0.09,0.946261794,31
0.09,0.951098233,32
0.09,0.955499392,33
0.09,0.959504447,34
0.09,0.963149046,35
0.09,0.966465632,36
0.09,0.969483725,37
0.09,0.97223019,38
0.09,0.974729473,39
0.09,0.97700382,40
0.09,0.979073477,41
0.09,0.980956864,42
0.09,0.982670746,43
0.09,0.984230379,44
0.09,0.985649645,45
0.09,0.986941177,46
0.09,0.988116471,47
0.09,0.989185988,48
0.09,0.990159249,49
0.09,0.991044917,50
0.09,0.991850874,51
0.09,0.992584296,52
0.09,0.993251709,53
0.09,0.993859055,54
0.09,0.99441174,55
