ev_vial,timepoint,fraction_edited,hours,growth,locus,generations_annotated
3,0,0.000719494,0,Turbidostat,gyrA,0
7,0,0.000719494,0,Turbidostat,gyrA,0
11,0,0.000719494,0,Turbidostat,gyrA,0
15,0,0.000719494,0,Turbidostat,gyrA,0
3,1,0.601450645,16,Turbidostat,gyrA,17
7,1,0.679466662,16,Turbidostat,gyrA,16
11,1,0.72315558,16,Turbidostat,gyrA,25
15,1,0.68641116,16,Turbidostat,gyrA,19.4
3,2,0.787938218,25,Turbidostat,gyrA,27
7,2,0.825661438,25,Turbidostat,gyrA,25
11,2,0.853100311,25,Turbidostat,gyrA,40
15,2,0.823291419,25,Turbidostat,gyrA,30
3,3,0.91304494,40,Turbidostat,gyrA,41
7,3,0.933533866,40,Turbidostat,gyrA,40
11,3,0.954007798,40,Turbidostat,gyrA,63
15,3,0.929310656,40,Turbidostat,gyrA,45
3,4,0.931152837,49,Turbidostat,gyrA,50
7,4,0.947615747,49,Turbidostat,gyrA,48
11,4,0.970949899,49,Turbidostat,gyrA,76
15,4,0.942673267,49,Turbidostat,gyrA,53
3,5,0.895581008,64,Turbidostat,gyrA,66
7,5,0.905180122,64,Turbidostat,gyrA,62
11,5,0.979077357,64,Turbidostat,gyrA,96
15,5,0.929075874,64,Turbidostat,gyrA,66
7,6,0.87323525,73,Turbidostat,gyrA,76
11,6,0.985798662,73,Turbidostat,gyrA,106
15,6,0.903405728,73,Turbidostat,gyrA,73
3,6,0.934241592,73,Turbidostat,gyrA,68
