ev_vial,timepoint,fraction_edited,hours,generations,growth,locus
3,0,0.000719494117175756,0,0,Turbidostat,gyrA
7,0,0.000719494117175756,0,0,Turbidostat,gyrA
11,0,0.000719494117175756,0,0,Turbidostat,gyrA
15,0,0.000719494117175756,0,0,Turbidostat,gyrA
3,1,0.601450644708645,16,16,Turbidostat,gyrA
7,1,0.679466662472525,16,16,Turbidostat,gyrA
11,1,0.72315557960918,16,16,Turbidostat,gyrA
15,1,0.686411160119471,16,16,Turbidostat,gyrA
3,2,0.787938218106026,25,25,Turbidostat,gyrA
7,2,0.825661437954339,25,25,Turbidostat,gyrA
11,2,0.853100311228154,25,25,Turbidostat,gyrA
15,2,0.823291418777501,25,25,Turbidostat,gyrA
3,3,0.913044940419474,40,40,Turbidostat,gyrA
7,3,0.933533865912513,40,40,Turbidostat,gyrA
11,3,0.954007797746366,40,40,Turbidostat,gyrA
15,3,0.92931065616324,40,40,Turbidostat,gyrA
3,4,0.931152836664648,49,49,Turbidostat,gyrA
7,4,0.947615747086603,49,49,Turbidostat,gyrA
11,4,0.970949899208417,49,49,Turbidostat,gyrA
15,4,0.942673267326733,49,49,Turbidostat,gyrA
3,5,0.895581008269574,64,64,Turbidostat,gyrA
7,5,0.905180122002106,64,64,Turbidostat,gyrA
11,5,0.979077356716548,64,64,Turbidostat,gyrA
15,5,0.929075874294012,64,64,Turbidostat,gyrA
7,6,0.873235250408679,73,73,Turbidostat,gyrA
11,6,0.985798662075195,73,73,Turbidostat,gyrA
15,6,0.903405728368639,73,73,Turbidostat,gyrA
3,6,0.934241591516043,73,73,Turbidostat,gyrA
