id,well,mu_hourly,doubling_time_min,r_sqrd,min_OD,max_OD,window_start_time_min,delta,max_slope_od,warnings
1,A1,0.872136,47.686198,0.993306,0.113000,0.900000,135.000000,4.000000,0.164326,0.000000
2,A2,0.800413,51.959227,0.999175,0.115000,0.900000,165.000000,4.000000,0.296326,0.000000
3,A3,0.772432,53.841392,0.999876,0.104000,0.900000,255.000000,4.000000,0.271326,0.000000
4,A4,0.743314,55.950549,0.999941,0.105000,0.900000,270.000000,4.000000,0.246326,0.000000
5,A5,0.869763,47.816261,0.997170,0.112000,0.900000,165.000000,4.000000,0.162326,0.000000
6,A6,0.844055,49.272628,0.997603,0.112000,0.900000,165.000000,4.000000,0.181326,0.000000
7,A7,1.120533,37.115231,0.985716,0.110000,0.900000,120.000000,4.000000,0.197326,0.000000
8,A8,1.026783,40.504017,0.994481,0.108000,0.900000,135.000000,4.000000,0.196326,0.000000
9,A9,1.093557,38.030776,0.998579,0.113000,0.900000,120.000000,4.000000,0.248326,0.000000
10,A10,1.164398,35.717027,0.982823,0.114000,0.900000,105.000000,4.000000,0.192326,0.000000
11,A11,0.782658,53.137962,0.998060,0.105000,0.900000,240.000000,4.000000,0.255326,0.000000
12,A12,0.767438,54.191745,0.999494,0.103000,0.900000,255.000000,4.000000,0.267326,0.000000
13,B1,0.805575,51.626241,0.998487,0.114000,0.900000,165.000000,4.000000,0.297326,0.000000
14,B2,0.852684,48.774020,0.988154,0.112000,0.900000,135.000000,4.000000,0.172326,0.000000
15,B3,0.763949,54.439294,0.999892,0.102000,0.900000,270.000000,4.000000,0.257326,0.000000
16,B4,0.787490,52.811918,0.999307,0.103000,0.900000,255.000000,4.000000,0.236326,0.000000
17,B5,0.838396,49.605255,0.997109,0.109000,0.900000,180.000000,4.000000,0.188326,0.000000
18,B6,0.847411,49.077537,0.994905,0.107000,0.900000,180.000000,4.000000,0.168326,0.000000
19,B7,1.128463,36.854401,0.987668,0.112000,0.900000,120.000000,4.000000,0.195326,0.000000
20,B8,1.125257,36.959414,0.986722,0.112000,0.900000,120.000000,4.000000,0.199326,0.000000
21,B9,1.058083,39.305816,0.987669,0.116000,0.900000,150.000000,4.000000,0.410326,0.000000
22,B10,1.144127,36.349823,0.984844,0.115000,0.900000,105.000000,4.000000,0.197326,0.000000
23,B11,0.772264,53.853098,0.999834,0.105000,0.900000,255.000000,4.000000,0.274326,0.000000
24,B12,0.773677,53.754797,0.999046,0.103000,0.900000,225.000000,4.000000,0.182326,0.000000
25,C1,0.785497,52.945888,0.999383,0.113000,0.900000,150.000000,4.000000,0.195326,0.000000
26,C2,0.869587,47.825940,0.987107,0.112000,0.900000,135.000000,4.000000,0.172326,0.000000
27,C3,0.750069,55.446659,0.997254,0.103000,0.900000,255.000000,4.000000,0.152326,0.000000
28,C4,0.780199,53.305445,0.997656,0.103000,0.900000,225.000000,4.000000,0.162326,0.000000
29,C5,0.836049,49.744497,0.996710,0.109000,0.900000,180.000000,4.000000,0.182326,0.000000
30,C6,0.814331,51.071172,0.998193,0.109000,0.900000,180.000000,4.000000,0.195326,0.000000
31,C7,1.082225,38.429023,0.996114,0.109000,0.900000,165.000000,4.000000,0.390326,0.000000
32,C8,1.047427,39.705711,0.994037,0.111000,0.900000,165.000000,4.000000,0.410326,0.000000
33,C9,1.137951,36.547106,0.993965,0.113000,0.900000,150.000000,4.000000,0.381326,0.000000
34,C10,1.192909,34.863359,0.999700,0.108000,0.900000,150.000000,4.000000,0.320326,0.000000
35,C11,0.849370,48.964314,0.996960,0.108000,0.900000,180.000000,4.000000,0.179326,0.000000
36,C12,0.872662,47.657455,0.996855,0.110000,0.900000,165.000000,4.000000,0.172326,0.000000
37,D1,0.862246,48.233161,0.992556,0.111000,0.900000,135.000000,4.000000,0.179326,0.000000
38,D2,0.807681,51.491625,0.999975,0.111000,0.900000,180.000000,4.000000,0.332326,0.000000
39,D3,0.260611,159.581924,0.996134,0.101000,0.243326,375.000000,4.000000,0.116326,0.000000
40,D4,0.767101,54.215609,0.999804,0.103000,0.900000,270.000000,4.000000,0.261326,0.000000
41,D5,0.857671,48.490446,0.996995,0.108000,0.900000,180.000000,4.000000,0.179326,0.000000
42,D6,0.889824,46.738252,0.995730,0.111000,0.900000,165.000000,4.000000,0.171326,0.000000
43,D7,1.143486,36.370210,0.986485,0.111000,0.900000,120.000000,4.000000,0.192326,0.000000
44,D8,1.135610,36.622455,0.986666,0.112000,0.900000,120.000000,4.000000,0.195326,0.000000
45,D9,1.109559,37.482312,0.992331,0.113000,0.900000,150.000000,4.000000,0.383326,0.000000
46,D10,1.127934,36.871687,0.993866,0.110000,0.900000,150.000000,4.000000,0.378326,0.000000
47,D11,0.809326,51.386993,0.998547,0.105000,0.900000,210.000000,4.000000,0.193326,0.000000
48,D12,0.882702,47.115355,0.995963,0.110000,0.900000,165.000000,4.000000,0.167326,0.000000
49,E1,0.865248,48.065781,0.997081,0.108000,0.900000,150.000000,4.000000,0.168326,0.000000
50,E2,0.792824,52.456551,0.996147,0.109000,0.900000,150.000000,4.000000,0.191326,0.000000
51,E3,0.767840,54.163375,0.999694,0.102000,0.900000,270.000000,4.000000,0.245326,0.000000
