id,well,mu_hourly,doubling_time_min,r_sqrd,min_OD,max_OD,window_start_time_min,delta,max_slope_od,warnings
1,A1,1.133691,36.684435,0.999602,0.109000,0.900000,105.000000,4.000000,0.093225,0.000000
2,A2,1.116776,37.240095,0.999768,0.113000,0.900000,90.000000,4.000000,0.091225,0.000000
3,A3,0.911836,45.609983,0.999860,0.105000,0.900000,180.000000,4.000000,0.097225,0.000000
4,A4,0.834588,49.831561,0.999731,0.104000,0.900000,195.000000,4.000000,0.087225,0.000000
5,A5,1.010767,41.145795,0.999065,0.110000,0.900000,135.000000,4.000000,0.098225,0.000000
6,A6,1.008654,41.232010,0.999957,0.112000,0.900000,120.000000,4.000000,0.088225,0.000000
7,A7,1.355399,30.683824,0.997343,0.110000,0.900000,105.000000,4.000000,0.146225,0.000000
8,A8,1.329576,31.279778,0.998144,0.110000,0.900000,105.000000,4.000000,0.115225,0.000000
9,A9,1.385411,30.019126,0.995276,0.114000,0.900000,90.000000,4.000000,0.142225,0.000000
10,A10,1.425911,29.166498,0.993728,0.113000,0.900000,90.000000,4.000000,0.144225,0.000000
11,A11,0.951161,43.724298,0.999367,0.104000,0.900000,165.000000,4.000000,0.089225,0.000000
12,A12,0.956448,43.482593,0.999964,0.102000,0.900000,180.000000,4.000000,0.097225,0.000000
13,B1,1.124002,37.000672,0.999857,0.113000,0.900000,90.000000,4.000000,0.099225,0.000000
14,B2,1.234849,33.679295,0.993741,0.111000,0.900000,105.000000,4.000000,0.131225,0.000000
15,B3,0.909655,45.719344,0.990180,0.102000,0.900000,180.000000,4.000000,0.082225,0.000000
16,B4,0.923074,45.054702,0.999952,0.103000,0.900000,180.000000,4.000000,0.081225,0.000000
17,B5,1.011957,41.097443,0.999882,0.110000,0.900000,135.000000,4.000000,0.097225,0.000000
18,B6,1.018738,40.823889,0.999280,0.106000,0.900000,150.000000,4.000000,0.106225,0.000000
19,B7,1.388711,29.947792,0.999780,0.112000,0.900000,90.000000,4.000000,0.105225,0.000000
20,B8,1.393302,29.849106,0.999746,0.113000,0.900000,90.000000,4.000000,0.108225,0.000000
21,B9,1.441334,28.854404,0.999182,0.114000,0.900000,90.000000,4.000000,0.133225,0.000000
22,B10,1.456924,28.545632,0.999195,0.114000,0.900000,75.000000,4.000000,0.102225,0.000000
23,B11,0.969983,42.875835,0.999879,0.103000,0.900000,165.000000,4.000000,0.081225,0.000000
24,B12,0.927462,44.841527,0.999417,0.103000,0.900000,180.000000,4.000000,0.096225,0.000000
25,C1,1.096411,37.931794,0.999843,0.110000,0.900000,105.000000,4.000000,0.089225,0.000000
26,C2,1.073476,38.742217,0.997850,0.110000,0.900000,90.000000,4.000000,0.120225,0.000000
27,C3,0.619400,67.143683,0.997351,0.100000,0.900000,135.000000,4.000000,0.079225,0.000000
28,C4,0.862705,48.207491,0.999630,0.103000,0.900000,165.000000,4.000000,0.084225,0.000000
29,C5,1.040654,39.964121,0.999040,0.108000,0.900000,135.000000,4.000000,0.089225,0.000000
30,C6,1.039902,39.993011,0.999492,0.110000,0.900000,135.000000,4.000000,0.094225,0.000000
31,C7,1.375389,30.237870,0.998089,0.108000,0.900000,105.000000,4.000000,0.122225,0.000000
32,C8,1.380563,30.124548,0.998500,0.109000,0.900000,105.000000,4.000000,0.128225,0.000000
