plate,well,tx,comments
1,A1,13,
1,A2,13,
1,A3,13,
1,A4,0,
1,A5,0,
1,A6,0,
1,A7,14,
1,A8,14,
1,A9,14,
1,A10,15,
1,A11,15,
1,A12,15,
1,B1,13,
1,B2,13,
1,B3,13,
1,B4,0,
1,B5,0,
1,B6,0,
1,B7,14,
1,B8,14,
1,B9,14,
1,B10,15,
1,B11,15,
1,B12,15,
1,C1,13,
1,C2,13,
1,C3,13,
1,C4,0,
1,C5,0,
1,C6,0,
1,C7,14,
1,C8,14,
1,C9,14,
1,C10,15,
1,C11,15,
1,C12,15,
1,D1,13,
1,D2,13,
1,D3,13,
1,D4,0,
1,D5,0,
1,D6,0,
1,D7,13,
1,D8,14,
1,D9,14,
1,D10,15,
1,D11,15,
1,D12,15,
1,E1,13,
1,E2,13,
1,E3,13,
1,E4,0,
1,E5,0,
1,E6,0,
1,E7,14,
1,E8,14,
1,E9,14,
1,E10,15,
1,E11,15,
1,E12,15,
1,F1,13,
1,F2,13,
1,F3,13,
1,F4,0,
1,F5,0,
1,F6,0,
1,F7,14,
1,F8,14,
1,F9,14,
1,F10,15,
1,F11,15,
1,F12,15,
1,G1,13,
1,G2,13,
1,G3,13,
1,G4,0,
1,G5,0,
1,G6,0,
1,G7,14,
1,G8,14,
1,G9,14,
1,G10,15,
1,G11,15,
1,G12,15,
1,H1,13,
1,H2,13,
1,H3,13,
1,H4,0,
1,H5,0,
1,H6,0,
1,H7,14,
1,H8,14,
1,H9,14,
1,H10,15,
1,H11,15,
1,H12,99,
2,A1,1,
2,A2,1,
2,A3,0,
2,A4,0,
2,A5,2,
2,A6,2,
2,A7,3,
2,A8,3,
2,A9,4,
2,A10,4,
2,A11,5,
2,A12,5,
2,B1,1,
2,B2,1,
2,B3,0,
2,B4,0,
2,B5,2,
2,B6,2,
2,B7,3,
2,B8,3,
2,B9,4,
2,B10,4,
2,B11,5,
2,B12,5,
2,C1,1,
2,C2,1,
2,C3,0,
2,C4,0,
2,C5,2,
2,C6,2,
2,C7,3,
2,C8,3,
2,C9,4,
2,C10,4,
2,C11,5,
2,C12,5,
2,D1,1,
2,D2,1,
2,D3,0,
2,D4,0,
2,D5,2,
2,D6,2,
2,D7,3,
2,D8,3,
2,D9,4,
2,D10,4,
2,D11,5,
2,D12,5,
2,E1,1,
2,E2,1,
2,E3,0,
2,E4,0,
2,E5,2,
2,E6,2,
2,E7,3,
2,E8,3,
2,E9,4,
2,E10,4,
2,E11,5,
2,E12,5,
2,F1,1,
2,F2,1,
2,F3,0,
2,F4,0,
2,F5,2,
2,F6,2,
2,F7,3,
2,F8,3,
2,F9,4,
2,F10,4,
2,F11,5,
2,F12,5,
2,G1,1,
2,G2,1,
2,G3,0,
2,G4,0,
2,G5,2,
2,G6,2,
2,G7,3,
2,G8,3,
2,G9,4,
2,G10,4,
2,G11,5,
2,G12,5,
2,H1,1,
2,H2,1,
2,H3,0,
2,H4,0,
2,H5,2,
2,H6,2,
2,H7,3,
2,H8,3,
2,H9,4,
2,H10,4,
2,H11,5,
2,H12,99,
3,A1,0,
3,A2,0,
3,A3,6,
3,A4,6,
3,A5,7,
3,A6,7,
3,A7,8,
3,A8,8,
3,A9,9,
3,A10,9,
3,A11,6,
3,A12,6,
3,B1,0,
3,B2,0,
3,B3,6,
3,B4,6,
3,B5,7,
3,B6,7,
3,B7,8,
3,B8,8,
3,B9,9,
3,B10,9,
3,B11,6,
3,B12,6,
3,C1,0,
3,C2,0,
3,C3,6,
3,C4,6,
3,C5,7,
3,C6,7,
3,C7,8,
3,C8,8,
3,C9,9,
3,C10,9,
3,C11,7,
3,C12,7,
3,D1,0,
3,D2,0,
3,D3,6,very late growth?
3,D4,6,
3,D5,7,
3,D6,7,
3,D7,8,
3,D8,8,
3,D9,9,
3,D10,9,
3,D11,7,
3,D12,7,
3,E1,0,
3,E2,0,
3,E3,6,
3,E4,6,
3,E5,7,
3,E6,7,
3,E7,8,
3,E8,8,
3,E9,9,
3,E10,9,
3,E11,8,
3,E12,8,
3,F1,0,
3,F2,0,
3,F3,6,
3,F4,6,
3,F5,7,
3,F6,7,
3,F7,8,
3,F8,9,
3,F9,9,
3,F10,9,
3,F11,8,
3,F12,8,
3,G1,0,
3,G2,0,
3,G3,6,
3,G4,6,
3,G5,7,
3,G6,7,
3,G7,8,
3,G8,9,
3,G9,9,
3,G10,9,
3,G11,8,
3,G12,8,
3,H1,0,
3,H2,0,
3,H3,6,
3,H4,6,
3,H5,7,
3,H6,7,
3,H7,8,
3,H8,9,
3,H9,9,
3,H10,9,
3,H11,8,
3,H12,99,
