id,well,mu_hourly,doubling_time_min,r_sqrd,min_OD,max_OD,window_start_time_min,delta,max_slope_od,warnings
1,A1,1.344878,30.923870,0.997376,0.100000,0.900000,120.000000,4.000000,0.123540,0.000000
2,A2,1.306648,31.828637,0.994562,0.101000,0.900000,120.000000,4.000000,0.133540,0.000000
3,A3,1.282607,32.425235,0.994559,0.102000,0.900000,120.000000,4.000000,0.139540,0.000000
4,A4,1.247550,33.336394,0.995582,0.101000,0.900000,135.000000,4.000000,0.134540,0.000000
5,A5,1.332445,31.212408,0.998572,0.104000,0.900000,120.000000,4.000000,0.123540,0.000000
6,A6,1.365118,30.465380,0.997243,0.102000,0.900000,120.000000,4.000000,0.112540,0.000000
7,A7,1.338978,31.060129,0.997973,0.100000,0.900000,120.000000,4.000000,0.116540,0.000000
8,A8,1.381752,30.098623,0.997044,0.101000,0.900000,120.000000,4.000000,0.128540,0.000000
9,A9,1.358923,30.604249,0.997517,0.101000,0.900000,120.000000,4.000000,0.126540,0.000000
10,A10,1.399940,29.707579,0.996960,0.099000,0.900000,120.000000,4.000000,0.125540,0.000000
11,A11,1.402828,29.646432,0.996785,0.099000,0.900000,120.000000,4.000000,0.134540,0.000000
12,A12,1.329293,31.286440,0.993260,0.099000,0.900000,120.000000,4.000000,0.144540,0.000000
13,B1,1.409226,29.511828,0.997727,0.098000,0.900000,120.000000,4.000000,0.106540,0.000000
14,B2,1.393988,29.834431,0.998770,0.099000,0.900000,120.000000,4.000000,0.106540,0.000000
15,B3,1.328526,31.304501,0.993525,0.097000,0.900000,135.000000,4.000000,0.129540,0.000000
16,B4,1.292281,32.182507,0.994159,0.098000,0.900000,135.000000,4.000000,0.130540,0.000000
17,B5,1.302390,31.932693,0.993933,0.097000,0.900000,135.000000,4.000000,0.131540,0.000000
18,B6,1.285523,32.351687,0.993159,0.097000,0.900000,135.000000,4.000000,0.132540,0.000000
19,B7,1.250068,33.269246,0.992398,0.098000,0.900000,135.000000,4.000000,0.144540,0.000000
20,B8,1.376729,30.208437,0.996843,0.100000,0.900000,120.000000,4.000000,0.132540,0.000000
21,B9,1.392611,29.863935,0.998386,0.099000,0.900000,120.000000,4.000000,0.121540,0.000000
22,B10,1.377972,30.181181,0.996917,0.098000,0.900000,120.000000,4.000000,0.130540,0.000000
23,B11,1.430695,29.068969,0.997343,0.098000,0.900000,120.000000,4.000000,0.114540,0.000000
24,B12,1.391188,29.894479,0.997876,0.098000,0.900000,120.000000,4.000000,0.111540,0.000000
25,C1,1.400749,29.690429,0.997609,0.098000,0.900000,120.000000,4.000000,0.114540,0.000000
26,C2,1.233644,33.712175,0.992178,0.099000,0.900000,135.000000,4.000000,0.137540,0.000000
27,C3,1.409428,29.507595,0.998286,0.099000,0.900000,120.000000,4.000000,0.118540,0.000000
28,C4,1.458407,28.516606,0.997315,0.098000,0.900000,120.000000,4.000000,0.109540,0.000000
29,C5,1.397200,29.765847,0.997963,0.098000,0.900000,120.000000,4.000000,0.126540,0.000000
30,C6,1.438385,28.913551,0.997797,0.099000,0.900000,120.000000,4.000000,0.114540,0.000000
31,C7,1.407470,29.548635,0.998271,0.100000,0.900000,120.000000,4.000000,0.120540,0.000000
32,C8,1.390171,29.916332,0.997706,0.100000,0.900000,120.000000,4.000000,0.132540,0.000000
33,C9,1.435780,28.966022,0.997877,0.098000,0.900000,120.000000,4.000000,0.120540,0.000000
34,C10,1.332769,31.204831,0.995474,0.101000,0.900000,120.000000,4.000000,0.134540,0.000000
35,C11,1.384828,30.031769,0.997376,0.099000,0.900000,120.000000,4.000000,0.130540,0.000000
36,C12,1.383544,30.059631,0.997769,0.098000,0.900000,120.000000,4.000000,0.117540,0.000000
37,D1,1.326511,31.352032,0.995228,0.100000,0.900000,120.000000,4.000000,0.140540,0.000000
38,D2,1.376145,30.221253,0.997676,0.100000,0.900000,120.000000,4.000000,0.127540,0.000000
39,D3,1.366422,30.436302,0.996229,0.099000,0.900000,120.000000,4.000000,0.134540,0.000000
40,D4,1.374777,30.251333,0.996551,0.099000,0.900000,120.000000,4.000000,0.128540,0.000000
41,D5,1.395805,29.795591,0.996894,0.100000,0.900000,120.000000,4.000000,0.127540,0.000000
42,D6,1.387010,29.984519,0.998206,0.100000,0.900000,120.000000,4.000000,0.125540,0.000000
43,D7,1.383084,30.069636,0.994198,0.099000,0.900000,120.000000,4.000000,0.139540,0.000000
44,D8,1.332697,31.206525,0.994568,0.099000,0.900000,120.000000,4.000000,0.137540,0.000000
45,D9,1.391645,29.884665,0.997792,0.099000,0.900000,120.000000,4.000000,0.130540,0.000000
46,D10,1.329778,31.275023,0.995440,0.100000,0.900000,120.000000,4.000000,0.136540,0.000000
47,D11,1.330211,31.264832,0.996421,0.100000,0.900000,120.000000,4.000000,0.131540,0.000000
48,D12,1.350569,30.793554,0.998654,0.099000,0.900000,120.000000,4.000000,0.118540,0.000000
49,E1,1.309043,31.770418,0.996095,0.100000,0.900000,120.000000,4.000000,0.142540,0.000000
50,E2,1.345294,30.914305,0.997643,0.100000,0.900000,120.000000,4.000000,0.127540,0.000000
51,E3,1.325663,31.372106,0.993784,0.101000,0.900000,120.000000,4.000000,0.139540,0.000000
52,E4,1.353382,30.729550,0.996375,0.101000,0.900000,120.000000,4.000000,0.135540,0.000000
53,E5,1.381752,30.098624,0.998021,0.100000,0.900000,120.000000,4.000000,0.129540,0.000000
54,E6,1.407022,29.558060,0.999012,0.099000,0.900000,120.000000,4.000000,0.121540,0.000000
55,E7,1.366422,30.436302,0.996229,0.101000,0.900000,120.000000,4.000000,0.134540,0.000000
56,E8,1.345411,30.911607,0.994389,0.099000,0.900000,120.000000,4.000000,0.136540,0.000000
57,E9,1.423087,29.224383,0.998325,0.099000,0.900000,120.000000,4.000000,0.123540,0.000000
58,E10,1.394238,29.829080,0.997688,0.099000,0.900000,120.000000,4.000000,0.124540,0.000000
59,E11,1.407323,29.551722,0.997675,0.099000,0.900000,120.000000,4.000000,0.127540,0.000000
60,E12,1.398883,29.730021,0.997636,0.098000,0.900000,120.000000,4.000000,0.116540,0.000000
