id,well,mu_hourly,doubling_time_min,r_sqrd,min_OD,max_OD,window_start_time_min,delta,max_slope_od,warnings
1,A1,1.245145,33.400782,0.997492,0.097000,0.900000,150.000000,4.000000,0.136512,0.000000
2,A2,1.412038,29.453059,0.999816,0.096000,0.900000,135.000000,4.000000,0.103512,0.000000
3,A3,1.338809,31.064059,0.999400,0.097000,0.900000,135.000000,4.000000,0.104512,0.000000
4,A4,1.380073,30.135250,0.999039,0.097000,0.900000,135.000000,4.000000,0.111512,0.000000
5,A5,1.384280,30.043658,0.997902,0.097000,0.900000,135.000000,4.000000,0.123512,0.000000
6,A6,1.381028,30.114399,0.998422,0.097000,0.900000,135.000000,4.000000,0.122512,0.000000
7,A7,1.337271,31.099782,0.999343,0.098000,0.900000,135.000000,4.000000,0.108512,0.000000
8,A8,1.382788,30.076080,0.999122,0.097000,0.900000,135.000000,4.000000,0.111512,0.000000
9,A9,1.353704,30.722252,0.999168,0.095000,0.900000,135.000000,4.000000,0.101512,0.000000
10,A10,1.262545,32.940468,0.995668,0.097000,0.900000,150.000000,4.000000,0.137512,0.000000
11,A11,1.413123,29.430441,0.999029,0.096000,0.900000,135.000000,4.000000,0.113512,0.000000
12,A12,1.312598,31.684357,0.999089,0.096000,0.900000,135.000000,4.000000,0.103512,0.000000
13,B1,1.266084,32.848389,0.998847,0.097000,0.900000,150.000000,4.000000,0.130512,0.000000
14,B2,1.252404,33.207198,0.994728,0.097000,0.900000,135.000000,4.000000,0.125512,0.000000
15,B3,1.387690,29.969825,0.991731,0.095000,0.900000,150.000000,4.000000,0.147512,0.000000
16,B4,1.277433,32.556558,0.995554,0.096000,0.900000,150.000000,4.000000,0.138512,0.000000
17,B5,1.382366,30.085243,0.999626,0.097000,0.900000,135.000000,4.000000,0.106512,0.000000
18,B6,1.385285,30.021870,0.999050,0.096000,0.900000,135.000000,4.000000,0.105512,0.000000
19,B7,1.255545,33.124137,0.996085,0.097000,0.900000,150.000000,4.000000,0.136512,0.000000
20,B8,1.374204,30.263947,0.999413,0.097000,0.900000,135.000000,4.000000,0.106512,0.000000
21,B9,1.509351,27.554123,0.996822,0.096000,0.900000,135.000000,4.000000,0.130512,0.000000
22,B10,1.219728,34.096796,0.992345,0.096000,0.900000,150.000000,4.000000,0.138512,0.000000
23,B11,1.416368,29.363004,0.998230,0.095000,0.900000,135.000000,4.000000,0.112512,0.000000
24,B12,1.218318,34.136273,0.993594,0.095000,0.900000,150.000000,4.000000,0.135512,0.000000
25,C1,1.241563,33.497157,0.997796,0.096000,0.900000,150.000000,4.000000,0.120512,0.000000
26,C2,1.077141,38.610391,0.999097,0.096000,0.900000,105.000000,4.000000,0.093512,0.000000
27,C3,1.109808,37.473897,0.997875,0.096000,0.900000,105.000000,4.000000,0.092512,0.000000
28,C4,1.311799,31.703655,0.999636,0.095000,0.900000,135.000000,4.000000,0.119512,0.000000
29,C5,1.377108,30.200122,0.998935,0.097000,0.900000,135.000000,4.000000,0.115512,0.000000
30,C6,1.385285,30.021870,0.999050,0.097000,0.900000,135.000000,4.000000,0.105512,0.000000
31,C7,1.299508,32.003528,0.997508,0.096000,0.900000,150.000000,4.000000,0.128512,0.000000
32,C8,1.390689,29.905196,0.999344,0.097000,0.900000,135.000000,4.000000,0.105512,0.000000
33,C9,1.433817,29.005672,0.997467,0.096000,0.900000,135.000000,4.000000,0.118512,0.000000
34,C10,1.239018,33.565961,0.990691,0.095000,0.900000,150.000000,4.000000,0.142512,0.000000
35,C11,1.402291,29.657783,0.998505,0.096000,0.900000,135.000000,4.000000,0.111512,0.000000
36,C12,1.304542,31.880036,0.998708,0.094000,0.900000,150.000000,4.000000,0.119512,0.000000
37,D1,1.325213,31.382746,0.999547,0.096000,0.900000,135.000000,4.000000,0.099512,0.000000
38,D2,1.022968,40.655075,0.999575,0.098000,0.900000,105.000000,4.000000,0.110512,0.000000
39,D3,1.035449,40.165012,0.999425,0.098000,0.900000,105.000000,4.000000,0.106512,0.000000
40,D4,1.260816,32.985648,0.999489,0.097000,0.900000,135.000000,4.000000,0.134512,0.000000
41,D5,1.383937,30.051107,0.998659,0.096000,0.900000,135.000000,4.000000,0.118512,0.000000
42,D6,1.373094,30.288401,0.998877,0.097000,0.900000,135.000000,4.000000,0.117512,0.000000
43,D7,1.313998,31.650592,0.999164,0.098000,0.900000,135.000000,4.000000,0.109512,0.000000
44,D8,1.379118,30.156106,0.998285,0.097000,0.900000,135.000000,4.000000,0.118512,0.000000
45,D9,1.415312,29.384928,0.998266,0.096000,0.900000,135.000000,4.000000,0.131512,0.000000
46,D10,1.368575,30.388417,0.999283,0.097000,0.900000,135.000000,4.000000,0.110512,0.000000
47,D11,1.359670,30.587443,0.998422,0.098000,0.900000,135.000000,4.000000,0.127512,0.000000
48,D12,1.305998,31.844492,0.998929,0.097000,0.900000,135.000000,4.000000,0.107512,0.000000
49,E1,1.268702,32.780608,0.998684,0.095000,0.900000,150.000000,4.000000,0.111512,0.000000
50,E2,0.965815,43.060871,0.999394,0.095000,0.900000,105.000000,4.000000,0.099512,0.000000
51,E3,1.048188,39.676898,0.999735,0.095000,0.900000,120.000000,4.000000,0.112512,0.000000
52,E4,1.287589,32.299778,0.999568,0.095000,0.900000,135.000000,4.000000,0.117512,0.000000
53,E5,1.320490,31.495000,0.995642,0.095000,0.900000,150.000000,4.000000,0.135512,0.000000
54,E6,1.402130,29.661189,0.998934,0.096000,0.900000,135.000000,4.000000,0.104512,0.000000
55,E7,1.243088,33.456068,0.996328,0.096000,0.900000,150.000000,4.000000,0.135512,0.000000
56,E8,1.386880,29.987332,0.999722,0.097000,0.900000,135.000000,4.000000,0.104512,0.000000
57,E9,1.400256,29.700879,0.998718,0.096000,0.900000,135.000000,4.000000,0.121512,0.000000
