id,well,mu_hourly,doubling_time_min,r_sqrd,min_OD,max_OD,window_start_time_min,delta,max_slope_od,warnings
1,A1,1.277680,32.550275,0.995088,0.101000,0.900000,135.000000,4.000000,0.134078,0.000000
2,A2,1.438138,28.918535,0.997534,0.100000,0.900000,120.000000,4.000000,0.118078,0.000000
3,A3,1.330521,31.257547,0.992413,0.100000,0.900000,135.000000,4.000000,0.146078,0.000000
4,A4,1.421742,29.252025,0.998565,0.102000,0.900000,120.000000,4.000000,0.120078,0.000000
5,A5,1.416348,29.363429,0.997705,0.102000,0.900000,120.000000,4.000000,0.127078,0.000000
6,A6,1.386773,29.989637,0.996830,0.102000,0.900000,120.000000,4.000000,0.130078,0.000000
7,A7,1.438015,28.921007,0.997759,0.100000,0.900000,120.000000,4.000000,0.122078,0.000000
8,A8,1.417173,29.346337,0.998439,0.102000,0.900000,120.000000,4.000000,0.122078,0.000000
9,A9,1.420765,29.272146,0.997747,0.101000,0.900000,120.000000,4.000000,0.125078,0.000000
10,A10,1.425335,29.178293,0.999197,0.101000,0.900000,120.000000,4.000000,0.115078,0.000000
11,A11,1.307295,31.812885,0.990127,0.098000,0.900000,150.000000,4.000000,0.141078,0.000000
12,A12,1.294506,32.127183,0.991291,0.099000,0.900000,135.000000,4.000000,0.148078,0.000000
13,B1,1.339863,31.039624,0.995679,0.101000,0.900000,135.000000,4.000000,0.130078,0.000000
14,B2,1.437262,28.936161,0.998272,0.101000,0.900000,120.000000,4.000000,0.115078,0.000000
15,B3,1.452945,28.623808,0.998326,0.100000,0.900000,120.000000,4.000000,0.118078,0.000000
16,B4,1.430811,29.066619,0.997335,0.100000,0.900000,120.000000,4.000000,0.122078,0.000000
17,B5,1.433223,29.017702,0.997654,0.101000,0.900000,120.000000,4.000000,0.124078,0.000000
18,B6,1.403829,29.625290,0.996400,0.102000,0.900000,120.000000,4.000000,0.123078,0.000000
19,B7,1.372986,30.290783,0.995802,0.101000,0.900000,120.000000,4.000000,0.130078,0.000000
