id,reads_merged,reads_total,%pass,plate,well,sample_ID,column,row,timepoint,ev_vial,expt_set
1-A1_S1_L001_R1_001.fastq.gz,"16,997","17,045",99.718,1,A1,S1,1,A,1,0,cal
1-A10_S10_L001_R1_001.fastq.gz,"216,038","217,181",99.474,1,A10,S10,10,A,1,12,real
1-A11_S11_L001_R1_001.fastq.gz,"240,030","241,254",99.493,1,A11,S11,11,A,1,13,real
1-A12_S12_L001_R1_001.fastq.gz,"310,473","311,928",99.534,1,A12,S12,12,A,1,14,real
1-A2_S2_L001_R1_001.fastq.gz,"6,540","6,569",99.559,1,A2,S2,2,A,1,1,cal
1-A3_S3_L001_R1_001.fastq.gz,"9,023","9,079",99.383,1,A3,S3,3,A,1,2,cal
1-A4_S4_L001_R1_001.fastq.gz,"6,583","6,612",99.561,1,A4,S4,4,A,1,4,cal
1-A5_S5_L001_R1_001.fastq.gz,"10,346","10,404",99.443,1,A5,S5,5,A,1,5,cal
1-A6_S6_L001_R1_001.fastq.gz,"8,361","8,431",99.17,1,A6,S6,6,A,1,6,cal
1-A7_S7_L001_R1_001.fastq.gz,"226,561","226,973",99.818,1,A7,S7,7,A,1,8,real
1-A8_S8_L001_R1_001.fastq.gz,"218,088","218,367",99.872,1,A8,S8,8,A,1,9,real
1-A9_S9_L001_R1_001.fastq.gz,"269,619","270,589",99.642,1,A9,S9,9,A,1,10,real
1-B1_S13_L001_R1_001.fastq.gz,"7,171","7,216",99.376,1,B1,S13,1,B,2,0,cal
1-B10_S22_L001_R1_001.fastq.gz,"146,221","147,615",99.056,1,B10,S22,10,B,2,12,real
1-B11_S23_L001_R1_001.fastq.gz,"216,502","217,520",99.532,1,B11,S23,11,B,2,13,real
1-B12_S24_L001_R1_001.fastq.gz,"209,059","210,169",99.472,1,B12,S24,12,B,2,14,real
1-B2_S14_L001_R1_001.fastq.gz,"8,499","8,523",99.718,1,B2,S14,2,B,2,1,cal
1-B3_S15_L001_R1_001.fastq.gz,"8,923","8,955",99.643,1,B3,S15,3,B,2,2,cal
1-B4_S16_L001_R1_001.fastq.gz,"9,401","9,475",99.219,1,B4,S16,4,B,2,4,cal
1-B5_S17_L001_R1_001.fastq.gz,"6,296","6,351",99.134,1,B5,S17,5,B,2,5,cal
1-B6_S18_L001_R1_001.fastq.gz,"7,447","7,486",99.479,1,B6,S18,6,B,2,6,cal
1-B7_S19_L001_R1_001.fastq.gz,"251,320","252,413",99.567,1,B7,S19,7,B,2,8,real
1-B8_S20_L001_R1_001.fastq.gz,"215,859","216,336",99.78,1,B8,S20,8,B,2,9,real
1-B9_S21_L001_R1_001.fastq.gz,"196,443","197,280",99.576,1,B9,S21,9,B,2,10,real
1-C1_S25_L001_R1_001.fastq.gz,"3,089","3,109",99.357,1,C1,S25,1,C,3,0,cal
1-C10_S34_L001_R1_001.fastq.gz,"210,901","212,525",99.236,1,C10,S34,10,C,3,12,real
1-C11_S35_L001_R1_001.fastq.gz,"224,667","225,889",99.459,1,C11,S35,11,C,3,13,real
1-C12_S36_L001_R1_001.fastq.gz,"175,214","176,191",99.445,1,C12,S36,12,C,3,14,real
1-C2_S26_L001_R1_001.fastq.gz,"6,720","6,752",99.526,1,C2,S26,2,C,3,1,cal
1-C3_S27_L001_R1_001.fastq.gz,"5,424","5,454",99.45,1,C3,S27,3,C,3,2,cal
1-C4_S28_L001_R1_001.fastq.gz,"6,339","6,373",99.466,1,C4,S28,4,C,3,4,cal
1-C5_S29_L001_R1_001.fastq.gz,"5,887","5,922",99.409,1,C5,S29,5,C,3,5,cal
1-C6_S30_L001_R1_001.fastq.gz,"4,979","5,021",99.164,1,C6,S30,6,C,3,6,cal
1-C7_S31_L001_R1_001.fastq.gz,"152,901","153,893",99.355,1,C7,S31,7,C,3,8,real
1-C8_S32_L001_R1_001.fastq.gz,"264,183","265,582",99.473,1,C8,S32,8,C,3,9,real
1-C9_S33_L001_R1_001.fastq.gz,"233,298","234,337",99.557,1,C9,S33,9,C,3,10,real
1-D1_S37_L001_R1_001.fastq.gz,"5,369","5,387",99.666,1,D1,S37,1,D,4,0,cal
1-D10_S46_L001_R1_001.fastq.gz,"246,675","247,684",99.593,1,D10,S46,10,D,4,12,real
1-D11_S47_L001_R1_001.fastq.gz,"180,901","181,494",99.673,1,D11,S47,11,D,4,13,real
1-D12_S48_L001_R1_001.fastq.gz,"187,434","188,319",99.53,1,D12,S48,12,D,4,14,real
1-D2_S38_L001_R1_001.fastq.gz,"6,204","6,221",99.727,1,D2,S38,2,D,4,1,cal
1-D3_S39_L001_R1_001.fastq.gz,"5,292","5,306",99.736,1,D3,S39,3,D,4,2,cal
1-D4_S40_L001_R1_001.fastq.gz,"8,069","8,092",99.716,1,D4,S40,4,D,4,4,cal
1-D5_S41_L001_R1_001.fastq.gz,"9,070","9,090",99.78,1,D5,S41,5,D,4,5,cal
1-D6_S42_L001_R1_001.fastq.gz,"9,417","9,453",99.619,1,D6,S42,6,D,4,6,cal
1-D7_S43_L001_R1_001.fastq.gz,"266,581","267,562",99.633,1,D7,S43,7,D,4,8,real
1-D8_S44_L001_R1_001.fastq.gz,"193,626","194,203",99.703,1,D8,S44,8,D,4,9,real
1-D9_S45_L001_R1_001.fastq.gz,"199,564","200,347",99.609,1,D9,S45,9,D,4,10,real
1-E1_S49_L001_R1_001.fastq.gz,"7,649","7,660",99.856,1,E1,S49,1,E,5,0,cal
1-E10_S58_L001_R1_001.fastq.gz,"206,097","206,928",99.598,1,E10,S58,10,E,5,12,real
1-E11_S59_L001_R1_001.fastq.gz,"197,187","198,072",99.553,1,E11,S59,11,E,5,13,real
1-E12_S60_L001_R1_001.fastq.gz,"192,306","193,463",99.402,1,E12,S60,12,E,5,14,real
1-E2_S50_L001_R1_001.fastq.gz,"7,465","7,486",99.719,1,E2,S50,2,E,5,1,cal
1-E3_S51_L001_R1_001.fastq.gz,"9,249","9,277",99.698,1,E3,S51,3,E,5,2,cal
1-E4_S52_L001_R1_001.fastq.gz,"8,724","8,754",99.657,1,E4,S52,4,E,5,4,cal
1-E5_S53_L001_R1_001.fastq.gz,"7,827","7,857",99.618,1,E5,S53,5,E,5,5,cal
1-E6_S54_L001_R1_001.fastq.gz,"9,265","9,291",99.72,1,E6,S54,6,E,5,6,cal
1-E7_S55_L001_R1_001.fastq.gz,"286,392","287,677",99.553,1,E7,S55,7,E,5,8,real
1-E8_S56_L001_R1_001.fastq.gz,"237,387","238,546",99.514,1,E8,S56,8,E,5,9,real
1-E9_S57_L001_R1_001.fastq.gz,"225,426","226,223",99.648,1,E9,S57,9,E,5,10,real
1-F1_S61_L001_R1_001.fastq.gz,"6,133","6,151",99.707,1,F1,S61,1,F,6,0,cal
1-F10_S70_L001_R1_001.fastq.gz,"248,455","249,676",99.511,1,F10,S70,10,F,6,12,real
1-F11_S71_L001_R1_001.fastq.gz,"201,658","202,482",99.593,1,F11,S71,11,F,6,13,real
1-F12_S72_L001_R1_001.fastq.gz,"139,939","140,791",99.395,1,F12,S72,12,F,6,14,real
1-F2_S62_L001_R1_001.fastq.gz,"8,310","8,345",99.581,1,F2,S62,2,F,6,1,cal
1-F3_S63_L001_R1_001.fastq.gz,"8,518","8,536",99.789,1,F3,S63,3,F,6,2,cal
1-F4_S64_L001_R1_001.fastq.gz,"10,864","10,900",99.67,1,F4,S64,4,F,6,4,cal
1-F5_S65_L001_R1_001.fastq.gz,"9,270","9,298",99.699,1,F5,S65,5,F,6,5,cal
1-F6_S66_L001_R1_001.fastq.gz,"12,213","12,250",99.698,1,F6,S66,6,F,6,6,cal
1-F7_S67_L001_R1_001.fastq.gz,"300,142","301,640",99.503,1,F7,S67,7,F,6,8,real
1-F8_S68_L001_R1_001.fastq.gz,"285,096","286,573",99.485,1,F8,S68,8,F,6,9,real
1-F9_S69_L001_R1_001.fastq.gz,"297,651","298,863",99.594,1,F9,S69,9,F,6,10,real
1-G1_S73_L001_R1_001.fastq.gz,"233,454","234,272",99.651,1,G1,S73,1,G,0,xx,real
1-G2_S74_L001_R1_001.fastq.gz,"338,807","339,855",99.692,1,G2,S74,2,G,0,xx,real
1-G3_S75_L001_R1_001.fastq.gz,"396,428","397,110",99.828,1,G3,S75,3,G,0,xx,real
1-G4_S76_L001_R1_001.fastq.gz,"89,112","89,301",99.788,1,G4,S76,4,G,0,xx,cal
1-G5_S77_L001_R1_001.fastq.gz,"113,577","113,778",99.823,1,G5,S77,5,G,0,xx,cal
1-G6_S78_L001_R1_001.fastq.gz,"602,252","602,576",99.946,1,G6,S78,6,G,0,xx,ev_gyr
2-A1_S79_L001_R1_001.fastq.gz,"256,983","257,122",99.946,2,A1,S79,1,A,1,3,ev_gyr
2-A10_S88_L001_R1_001.fastq.gz,"321,754","321,963",99.935,2,A10,S88,10,A,3,7,ev_gyr
2-A11_S89_L001_R1_001.fastq.gz,"307,449","307,598",99.952,2,A11,S89,11,A,3,11,ev_gyr
2-A12_S90_L001_R1_001.fastq.gz,"360,259","360,462",99.944,2,A12,S90,12,A,3,15,ev_gyr
2-A2_S80_L001_R1_001.fastq.gz,"262,621","262,755",99.949,2,A2,S80,2,A,1,7,ev_gyr
2-A3_S81_L001_R1_001.fastq.gz,"626,957","627,975",99.838,2,A3,S81,3,A,1,11,ev_gyr
2-A4_S82_L001_R1_001.fastq.gz,"349,152","349,340",99.946,2,A4,S82,4,A,1,15,ev_gyr
2-A5_S83_L001_R1_001.fastq.gz,"493,538","493,814",99.944,2,A5,S83,5,A,2,3,ev_gyr
2-A6_S84_L001_R1_001.fastq.gz,"409,820","410,067",99.94,2,A6,S84,6,A,2,7,ev_gyr
2-A7_S85_L001_R1_001.fastq.gz,"298,973","299,116",99.952,2,A7,S85,7,A,2,11,ev_gyr
2-A8_S86_L001_R1_001.fastq.gz,"249,049","249,164",99.954,2,A8,S86,8,A,2,15,ev_gyr
2-A9_S87_L001_R1_001.fastq.gz,"363,810","364,005",99.946,2,A9,S87,9,A,3,3,ev_gyr
2-B1_S91_L001_R1_001.fastq.gz,"462,751","462,986",99.949,2,B1,S91,1,B,4,3,ev_gyr
2-B10_S100_L001_R1_001.fastq.gz,"298,936","299,067",99.956,2,B10,S100,10,B,6,7,ev_gyr
2-B11_S101_L001_R1_001.fastq.gz,"285,548","285,670",99.957,2,B11,S101,11,B,6,11,ev_gyr
2-B12_S102_L001_R1_001.fastq.gz,"249,553","249,652",99.96,2,B12,S102,12,B,6,15,ev_gyr
2-B2_S92_L001_R1_001.fastq.gz,"391,609","391,774",99.958,2,B2,S92,2,B,4,7,ev_gyr
2-B3_S93_L001_R1_001.fastq.gz,"411,195","411,362",99.959,2,B3,S93,3,B,4,11,ev_gyr
2-B4_S94_L001_R1_001.fastq.gz,"450,510","450,712",99.955,2,B4,S94,4,B,4,15,ev_gyr
2-B5_S95_L001_R1_001.fastq.gz,"615,360","615,614",99.959,2,B5,S95,5,B,5,3,ev_gyr
2-B6_S96_L001_R1_001.fastq.gz,"304,758","304,874",99.962,2,B6,S96,6,B,5,7,ev_gyr
2-B7_S97_L001_R1_001.fastq.gz,"497,116","497,337",99.956,2,B7,S97,7,B,5,11,ev_gyr
2-B8_S98_L001_R1_001.fastq.gz,"429,353","429,525",99.96,2,B8,S98,8,B,5,15,ev_gyr
2-B9_S99_L001_R1_001.fastq.gz,"287,072","287,208",99.953,2,B9,S99,9,B,6,3,ev_gyr
2-C1_S103_L001_R1_001.fastq.gz,"208,410","208,539",99.938,2,C1,S103,1,C,1,5a,other_gyr
2-C10_S112_L001_R1_001.fastq.gz,"252,678","252,815",99.946,2,C10,S112,10,C,2,6a,other_gyr
2-C11_S113_L001_R1_001.fastq.gz,"254,234","254,371",99.946,2,C11,S113,11,C,2,6b,other_gyr
2-C12_S114_L001_R1_001.fastq.gz,"191,008","191,125",99.939,2,C12,S114,12,C,2,6c,other_gyr
2-C2_S104_L001_R1_001.fastq.gz,"285,393","285,544",99.947,2,C2,S104,2,C,1,5b,other_gyr
2-C3_S105_L001_R1_001.fastq.gz,"227,596","227,738",99.938,2,C3,S105,3,C,1,5c,other_gyr
2-C4_S106_L001_R1_001.fastq.gz,"225,376","225,532",99.931,2,C4,S106,4,C,1,6a,other_gyr
2-C5_S107_L001_R1_001.fastq.gz,"190,214","190,338",99.935,2,C5,S107,5,C,1,6b,other_gyr
2-C6_S108_L001_R1_001.fastq.gz,"189,854","189,985",99.931,2,C6,S108,6,C,1,6c,other_gyr
2-C7_S109_L001_R1_001.fastq.gz,"217,544","217,689",99.933,2,C7,S109,7,C,2,5a,other_gyr
2-C8_S110_L001_R1_001.fastq.gz,"346,713","346,915",99.942,2,C8,S110,8,C,2,5b,other_gyr
2-C9_S111_L001_R1_001.fastq.gz,"283,695","283,840",99.949,2,C9,S111,9,C,2,5c,other_gyr
