window,mean_window_count
224500,228.046
228500,235.416
274000,306.606
283500,228.31
381500,250.26
574500,284.334
688000,306.722
1395000,296.984
1466500,244.556
1649500,243.912
2067500,233.486
2100500,297.728
2287500,235.154
2288000,275.48
2725000,225.774
2726000,233.762
2726500,245.828
2995000,243.252
3129000,297.266
3185000,233.872
3364500,281.456
3424000,256.484
3426000,226.362
3651000,286.762
3943000,246.63
4034500,230.372
4035000,228.734
4165500,240.72
4166000,230.952
4168000,246.918
4169500,235.474
4207000,231.986
4207500,230.008
4209500,246.766
