,Sample_num,Sample_num_S,tot_counts_cutcounted
0,143,S143,62024
1,142,S142,61526
2,57,S57,81037
3,56,S56,61421
4,198,S198,183385
5,6,S6,81742
6,7,S7,67807
7,199,S199,206502
8,264,S264,66098
9,265,S265,43252
10,281,S281,21928
11,280,S280,37437
12,20,S20,52411
13,21,S21,49951
14,213,S213,148196
15,212,S212,161229
16,134,S134,74274
17,69,S69,43912
18,135,S135,50090
19,68,S68,31111
20,192,S192,159022
21,193,S193,176054
22,100,S100,44611
23,101,S101,60159
24,86,S86,43132
25,87,S87,48770
26,227,S227,59755
27,226,S226,58148
28,149,S149,52838
29,14,S14,47162
30,148,S148,51476
31,15,S15,43845
32,250,S250,51512
33,251,S251,27814
34,63,S63,83755
35,62,S62,84456
36,219,S219,71852
37,218,S218,35042
38,177,S177,211674
39,176,S176,256324
40,273,S273,34471
41,272,S272,43307
42,40,S40,54884
43,41,S41,56094
44,154,S154,48791
45,155,S155,45912
46,123,S123,68054
47,122,S122,63295
48,204,S204,183823
49,205,S205,165672
50,296,S296,44541
51,297,S297,46971
52,37,S37,54749
53,36,S36,54926
54,91,S91,62579
55,90,S90,68346
56,230,S230,52998
57,231,S231,85919
58,117,S117,36103
59,116,S116,30025
60,279,S279,33454
61,278,S278,44632
62,185,S185,158253
63,184,S184,141217
64,160,S160,49869
65,161,S161,64332
66,74,S74,61067
67,129,S129,45598
68,75,S75,45125
69,128,S128,56851
70,247,S247,62635
71,246,S246,56862
72,47,S47,52550
73,46,S46,49259
74,188,S188,215503
75,189,S189,215436
76,274,S274,43794
77,275,S275,61693
78,153,S153,53707
79,152,S152,56796
80,79,S79,25749
81,124,S124,65760
82,78,S78,32738
83,125,S125,91056
84,291,S291,32242
85,290,S290,32531
86,30,S30,50848
87,31,S31,68552
88,203,S203,126600
89,202,S202,116205
90,96,S96,44110
91,97,S97,83008
92,237,S237,51659
93,236,S236,50052
94,159,S159,58723
95,158,S158,60290
96,182,S182,159144
97,183,S183,114265
98,110,S110,59623
99,111,S111,59939
100,209,S209,212960
101,208,S208,200921
102,301,S301,43547
103,167,S167,45520
104,166,S166,49308
105,300,S300,40852
106,240,S240,40251
107,241,S241,56843
108,73,S73,79339
109,72,S72,31225
110,144,S144,59756
111,19,S19,53519
112,145,S145,65180
113,18,S18,64114
114,1,S1,53976
115,263,S263,49568
116,262,S262,35183
117,50,S50,50998
118,51,S51,47334
119,214,S214,152391
120,215,S215,166681
121,286,S286,44169
122,287,S287,44112
123,27,S27,44311
124,26,S26,53143
125,133,S133,64878
126,132,S132,51868
127,107,S107,60533
128,106,S106,72347
129,269,S269,34765
130,268,S268,34220
131,195,S195,152580
132,194,S194,144589
133,13,S13,41033
134,12,S12,48692
135,81,S81,72848
136,80,S80,28057
137,220,S220,60532
138,221,S221,62151
139,139,S139,55740
140,64,S64,114300
141,138,S138,70114
142,65,S65,90844
143,257,S257,40171
144,256,S256,40117
145,170,S170,35011
146,171,S171,41179
147,233,S233,87794
148,232,S232,56541
149,92,S92,48014
150,93,S93,56036
151,49,S49,32688
152,114,S114,59300
153,48,S48,59688
154,115,S115,49736
155,186,S186,211701
156,187,S187,228861
157,163,S163,40464
158,304,S304,39213
159,162,S162,44530
160,77,S77,49833
161,76,S76,31264
162,244,S244,54274
163,245,S245,47448
164,270,S270,18278
165,271,S271,29468
166,43,S43,72504
167,42,S42,63884
168,98,S98,75367
169,99,S99,66337
170,239,S239,50327
171,238,S238,44080
172,157,S157,40269
173,156,S156,42533
174,120,S120,49868
175,121,S121,99438
176,207,S207,138223
177,206,S206,169471
178,34,S34,47096
179,169,S169,45871
180,35,S35,51577
181,168,S168,38660
182,295,S295,35069
183,294,S294,39969
184,191,S191,132477
185,190,S190,163158
186,103,S103,34236
187,102,S102,40447
188,224,S224,44898
189,225,S225,20898
190,85,S85,47435
191,84,S84,40478
192,17,S17,50583
193,16,S16,36214
194,253,S253,70254
195,252,S252,36929
196,60,S60,94058
197,61,S61,89985
198,288,S288,51014
199,289,S289,51522
200,174,S174,174071
201,29,S29,70014
202,175,S175,209683
203,28,S28,62488
204,140,S140,65436
205,141,S141,57265
206,109,S109,77392
207,54,S54,67352
208,108,S108,50898
209,55,S55,89006
210,267,S267,50870
211,266,S266,59374
212,5,S5,68170
213,4,S4,59657
214,23,S23,53577
215,22,S22,47047
216,282,S282,36705
217,283,S283,40283
218,210,S210,211904
219,211,S211,167570
220,137,S137,80266
221,136,S136,62175
222,259,S259,27407
223,258,S258,37306
224,104,S104,44205
225,59,S59,76647
226,105,S105,93746
227,58,S58,88084
228,196,S196,172563
229,8,S8,57384
230,9,S9,56722
231,197,S197,205315
232,10,S10,46614
