id,well,mu_hourly,doubling_time_min,r_sqrd,min_OD,max_OD,window_start_time_min,delta,max_slope_od,warnings
1,A1,1.222563,34.017728,0.984184,0.130000,0.900000,75.000000,4.000000,0.211291,0.000000
2,A2,1.157744,35.922314,0.980227,0.121000,0.900000,90.000000,4.000000,0.221291,0.000000
3,A3,1.145514,36.305838,0.981430,0.122000,0.900000,90.000000,4.000000,0.228291,0.000000
4,A4,0.965690,43.066443,0.997409,0.110000,0.900000,135.000000,4.000000,0.168291,0.000000
5,A5,0.859564,48.383634,0.994875,0.111000,0.900000,135.000000,4.000000,0.194291,0.000000
6,A6,0.838150,49.619817,0.998324,0.104000,0.900000,150.000000,4.000000,0.157291,0.000000
7,A7,1.090444,38.139353,0.992445,0.118000,0.900000,105.000000,4.000000,0.233291,0.000000
8,A8,1.150261,36.155989,0.986206,0.118000,0.900000,105.000000,4.000000,0.222291,0.000000
9,A9,1.206982,34.456883,0.991832,0.107000,0.900000,120.000000,4.000000,0.199291,0.000000
10,A10,1.123128,37.029479,0.977098,0.116000,0.900000,105.000000,4.000000,0.218291,0.000000
11,A11,1.022260,40.683218,0.997505,0.110000,0.900000,150.000000,4.000000,0.384291,0.000000
12,A12,1.123275,37.024615,0.972491,0.113000,0.900000,105.000000,4.000000,0.226291,0.000000
13,B1,1.057473,39.328508,0.989195,0.117000,0.900000,105.000000,4.000000,0.250291,0.000000
14,B2,1.076871,38.620085,0.991239,0.118000,0.900000,105.000000,4.000000,0.243291,0.000000
15,B3,1.094178,38.009192,0.997768,0.109000,0.900000,120.000000,4.000000,0.253291,0.000000
16,B4,0.654732,63.520399,0.988487,0.104000,0.715291,195.000000,4.000000,0.165291,0.000000
17,B5,0.693737,59.948966,0.988479,0.104000,0.900000,180.000000,4.000000,0.176291,0.000000
18,B6,0.488251,85.179175,0.990519,0.103000,0.559291,225.000000,4.000000,0.134291,0.000000
19,B7,1.209263,34.391880,0.988596,0.114000,0.900000,105.000000,4.000000,0.204291,0.000000
20,B8,1.165489,35.683589,0.986866,0.110000,0.900000,120.000000,4.000000,0.208291,0.000000
21,B9,1.177983,35.305117,0.986508,0.111000,0.900000,120.000000,4.000000,0.206291,0.000000
22,B10,1.098591,37.856510,0.989455,0.108000,0.900000,120.000000,4.000000,0.211291,0.000000
23,B11,1.096121,37.941823,0.988582,0.109000,0.900000,120.000000,4.000000,0.200291,0.000000
24,B12,1.031528,40.317709,0.991688,0.110000,0.900000,120.000000,4.000000,0.218291,0.000000
25,C1,1.141814,36.423482,0.985212,0.122000,0.900000,90.000000,4.000000,0.229291,0.000000
26,C2,1.101158,37.768258,0.990963,0.117000,0.900000,105.000000,4.000000,0.241291,0.000000
27,C3,1.148966,36.196761,0.994391,0.115000,0.900000,105.000000,4.000000,0.223291,0.000000
28,C4,0.808426,51.444176,0.995465,0.107000,0.900000,165.000000,4.000000,0.175291,0.000000
29,C5,0.750844,55.389440,0.999193,0.105000,0.900000,165.000000,4.000000,0.184291,0.000000
30,C6,0.908061,45.799600,0.991251,0.111000,0.900000,135.000000,4.000000,0.169291,0.000000
31,C7,1.083820,38.372469,0.993181,0.106000,0.900000,135.000000,4.000000,0.226291,0.000000
32,C8,1.098992,37.842706,0.994280,0.112000,0.900000,120.000000,4.000000,0.217291,0.000000
33,C9,1.101334,37.762231,0.995380,0.112000,0.900000,120.000000,4.000000,0.217291,0.000000
