id,well,mu_hourly,doubling_time_min,r_sqrd,min_OD,max_OD,window_start_time_min,delta,max_slope_od,warnings
1,A1,1.062172,39.154518,0.989335,0.121000,0.900000,105.000000,4.000000,0.187210,0.000000
2,A2,1.078416,38.564732,0.987955,0.121000,0.900000,105.000000,4.000000,0.184210,0.000000
3,A3,0.811029,51.279076,0.982824,0.118000,0.900000,120.000000,4.000000,0.176210,0.000000
4,A4,0.851334,48.851392,0.986884,0.118000,0.900000,120.000000,4.000000,0.166210,0.000000
5,A5,1.060025,39.233831,0.997819,0.120000,0.900000,135.000000,4.000000,0.341210,0.000000
6,A6,1.059981,39.235467,0.994797,0.117000,0.900000,135.000000,4.000000,0.293210,0.000000
7,A7,1.052158,39.527174,0.991190,0.121000,0.900000,135.000000,4.000000,0.405210,0.000000
8,A8,1.094591,37.994875,0.999003,0.118000,0.900000,135.000000,4.000000,0.341210,0.000000
9,A9,0.996503,41.734792,0.997517,0.117000,0.900000,165.000000,4.000000,0.415210,0.000000
10,A10,1.019383,40.798039,0.996594,0.116000,0.900000,165.000000,4.000000,0.404210,0.000000
11,A11,1.004190,41.415290,0.998905,0.115000,0.900000,165.000000,4.000000,0.373210,0.000000
12,A12,1.119120,37.162096,0.993102,0.114000,0.900000,120.000000,4.000000,0.194210,0.000000
13,B1,1.045605,39.774886,0.987557,0.121000,0.900000,105.000000,4.000000,0.183210,0.000000
14,B2,1.015047,40.972330,0.997355,0.119000,0.900000,150.000000,4.000000,0.383210,0.000000
15,B3,0.856638,48.548918,0.988578,0.118000,0.900000,120.000000,4.000000,0.167210,0.000000
16,B4,0.876371,47.455748,0.992428,0.117000,0.900000,120.000000,4.000000,0.161210,0.000000
17,B5,1.072791,38.766930,0.996618,0.119000,0.900000,135.000000,4.000000,0.330210,0.000000
18,B6,1.086622,38.273497,0.998699,0.120000,0.900000,135.000000,4.000000,0.342210,0.000000
19,B7,1.110827,37.439505,0.999357,0.119000,0.900000,135.000000,4.000000,0.356210,0.000000
20,B8,1.091998,38.085066,0.999336,0.120000,0.900000,135.000000,4.000000,0.357210,0.000000
21,B9,1.025148,40.568619,0.998572,0.117000,0.900000,150.000000,4.000000,0.321210,0.000000
22,B10,1.033640,40.235300,0.999229,0.117000,0.900000,150.000000,4.000000,0.341210,0.000000
23,B11,1.002436,41.487771,0.996187,0.115000,0.900000,135.000000,4.000000,0.205210,0.000000
24,B12,1.086613,38.273807,0.993885,0.116000,0.900000,120.000000,4.000000,0.194210,0.000000
25,C1,0.983348,42.293084,0.999026,0.118000,0.900000,150.000000,4.000000,0.339210,0.000000
26,C2,0.996752,41.724361,0.993666,0.116000,0.900000,105.000000,4.000000,0.216210,0.000000
27,C3,0.836313,49.728785,0.988694,0.116000,0.900000,120.000000,4.000000,0.199210,0.000000
28,C4,0.794009,52.378277,0.999848,0.114000,0.900000,180.000000,4.000000,0.342210,0.000000
29,C5,1.081006,38.472332,0.992988,0.116000,0.900000,135.000000,4.000000,0.293210,0.000000
30,C6,1.078087,38.576505,0.993122,0.116000,0.900000,150.000000,4.000000,0.382210,0.000000
31,C7,1.153357,36.058938,0.998241,0.117000,0.900000,135.000000,4.000000,0.317210,0.000000
32,C8,1.085552,38.311212,0.997900,0.118000,0.900000,135.000000,4.000000,0.371210,0.000000
33,C9,1.030216,40.369048,0.994053,0.114000,0.900000,165.000000,4.000000,0.393210,0.000000
34,C10,1.029969,40.378728,0.996488,0.113000,0.900000,150.000000,4.000000,0.309210,0.000000
35,C11,1.016366,40.919148,0.996772,0.114000,0.900000,150.000000,4.000000,0.295210,0.000000
36,C12,1.027145,40.489725,0.998641,0.113000,0.900000,165.000000,4.000000,0.369210,0.000000
