id,well,mu_hourly,doubling_time_min,r_sqrd,min_OD,max_OD,window_start_time_min,delta,max_slope_od,warnings
1,A1,0.803902,51.733686,0.999136,0.109000,0.900000,150.000000,4.000000,0.185225,0.000000
2,A2,0.825503,50.379995,0.994087,0.113000,0.900000,135.000000,4.000000,0.187225,0.000000
3,A3,0.757870,54.875948,0.999894,0.105000,0.900000,255.000000,4.000000,0.256225,0.000000
4,A4,0.725725,57.306578,0.998308,0.104000,0.900000,240.000000,4.000000,0.156225,0.000000
5,A5,0.794298,52.359210,0.998225,0.110000,0.900000,180.000000,4.000000,0.187225,0.000000
6,A6,0.826027,50.348003,0.997521,0.112000,0.900000,165.000000,4.000000,0.175225,0.000000
7,A7,1.116166,37.260442,0.983812,0.110000,0.900000,120.000000,4.000000,0.196225,0.000000
8,A8,0.991835,41.931212,0.998098,0.110000,0.900000,165.000000,4.000000,0.316225,0.000000
9,A9,1.062308,39.149488,0.998453,0.114000,0.900000,135.000000,4.000000,0.312225,0.000000
10,A10,1.059058,39.269629,0.993154,0.113000,0.900000,135.000000,4.000000,0.307225,0.000000
11,A11,0.786150,52.901887,0.998433,0.104000,0.900000,210.000000,4.000000,0.173225,0.000000
12,A12,0.747066,55.669553,0.999296,0.102000,0.900000,255.000000,4.000000,0.262225,0.000000
13,B1,0.785647,52.935780,0.997981,0.113000,0.900000,135.000000,4.000000,0.196225,0.000000
14,B2,0.801458,51.891442,0.988821,0.111000,0.900000,135.000000,4.000000,0.203225,0.000000
15,B3,0.819710,50.736033,0.996537,0.102000,0.900000,225.000000,4.000000,0.155225,0.000000
16,B4,0.768598,54.109979,0.998629,0.103000,0.900000,225.000000,4.000000,0.152225,0.000000
17,B5,0.801273,51.903467,0.997140,0.110000,0.900000,180.000000,4.000000,0.189225,0.000000
18,B6,0.836665,49.707867,0.993795,0.106000,0.900000,180.000000,4.000000,0.167225,0.000000
19,B7,1.100486,37.791321,0.987414,0.112000,0.900000,120.000000,4.000000,0.196225,0.000000
20,B8,1.100704,37.783849,0.988343,0.113000,0.900000,120.000000,4.000000,0.201225,0.000000
21,B9,1.070734,38.841439,0.990288,0.114000,0.900000,150.000000,4.000000,0.391225,0.000000
22,B10,1.121561,37.081219,0.983060,0.114000,0.900000,105.000000,4.000000,0.192225,0.000000
23,B11,0.808702,51.426650,0.998084,0.103000,0.900000,210.000000,4.000000,0.159225,0.000000
