id,well,mu_hourly,doubling_time_min,r_sqrd,min_OD,max_OD,window_start_time_min,delta,max_slope_od,warnings
1,A1,1.396207,29.787011,0.996817,0.098000,0.900000,135.000000,4.000000,0.112302,0.000000
2,A2,1.282504,32.427847,0.997159,0.098000,0.900000,150.000000,4.000000,0.123302,0.000000
3,A3,1.347823,30.856290,0.998229,0.101000,0.900000,135.000000,4.000000,0.110302,0.000000
4,A4,1.277216,32.562085,0.999677,0.100000,0.900000,135.000000,4.000000,0.096302,0.000000
5,A5,1.358426,30.615455,0.997923,0.099000,0.900000,135.000000,4.000000,0.117302,0.000000
6,A6,1.267437,32.813342,0.999295,0.101000,0.900000,135.000000,4.000000,0.108302,0.000000
7,A7,1.327887,31.319550,0.998072,0.099000,0.900000,135.000000,4.000000,0.109302,0.000000
8,A8,1.293690,32.147443,0.999666,0.109000,0.900000,120.000000,4.000000,0.095302,0.000000
9,A9,1.327997,31.316972,0.998042,0.100000,0.900000,135.000000,4.000000,0.125302,0.000000
10,A10,1.365854,30.448957,0.997591,0.098000,0.900000,135.000000,4.000000,0.124302,0.000000
11,A11,1.349271,30.823197,0.996496,0.099000,0.900000,135.000000,4.000000,0.134302,0.000000
12,A12,1.301442,31.955963,0.997086,0.098000,0.900000,135.000000,4.000000,0.118302,0.000000
13,B1,1.385012,30.027777,0.997992,0.098000,0.900000,135.000000,4.000000,0.129302,0.000000
14,B2,1.231289,33.776656,0.992939,0.098000,0.900000,135.000000,4.000000,0.142302,0.000000
15,B3,1.295029,32.114205,0.994106,0.098000,0.900000,135.000000,4.000000,0.142302,0.000000
16,B4,1.267809,32.803700,0.997064,0.098000,0.900000,135.000000,4.000000,0.128302,0.000000
17,B5,1.396021,29.790983,0.998780,0.099000,0.900000,120.000000,4.000000,0.108302,0.000000
18,B6,1.241119,33.509130,0.998205,0.100000,0.900000,135.000000,4.000000,0.125302,0.000000
19,B7,1.372538,30.300678,0.997655,0.100000,0.900000,120.000000,4.000000,0.114302,0.000000
20,B8,1.393207,29.851153,0.997923,0.100000,0.900000,120.000000,4.000000,0.113302,0.000000
21,B9,1.373619,30.276824,0.998472,0.100000,0.900000,120.000000,4.000000,0.103302,0.000000
22,B10,1.388787,29.946165,0.997701,0.099000,0.900000,120.000000,4.000000,0.115302,0.000000
23,B11,1.337680,31.090279,0.997693,0.098000,0.900000,135.000000,4.000000,0.128302,0.000000
24,B12,1.298632,32.025109,0.998466,0.097000,0.900000,135.000000,4.000000,0.101302,0.000000
