id,well,mu_hourly,doubling_time_min,r_sqrd,min_OD,max_OD,window_start_time_min,delta,max_slope_od,warnings
1,A1,1.390116,29.917521,0.997652,0.101000,0.805391,120.000000,4.000000,0.109391,0.000000
2,A2,1.389085,29.939734,0.997547,0.101000,0.810391,120.000000,4.000000,0.113391,0.000000
3,A3,1.415658,29.377738,0.998229,0.100000,0.815391,120.000000,4.000000,0.112391,0.000000
4,A4,1.398230,29.743906,0.998110,0.101000,0.824391,120.000000,4.000000,0.109391,0.000000
5,A5,1.398038,29.748003,0.997272,0.100000,0.821391,120.000000,4.000000,0.114391,0.000000
6,A6,1.286991,32.314792,0.994140,0.099000,0.794391,135.000000,4.000000,0.139391,0.000000
7,A7,1.438127,28.918751,0.997834,0.099000,0.817391,120.000000,4.000000,0.118391,0.000000
8,A8,1.438210,28.917074,0.997659,0.100000,0.825391,120.000000,4.000000,0.116391,0.000000
9,A9,1.297517,32.052641,0.995716,0.098000,0.829391,135.000000,4.000000,0.139391,0.000000
10,A10,1.425888,29.166959,0.998550,0.100000,0.835391,120.000000,4.000000,0.110391,0.000000
11,A11,1.441632,28.848433,0.996955,0.099000,0.829391,120.000000,4.000000,0.117391,0.000000
12,A12,1.400860,29.688080,0.998543,0.099000,0.810391,120.000000,4.000000,0.117391,0.000000
13,B1,1.379725,30.142844,0.998242,0.101000,0.809391,120.000000,4.000000,0.116391,0.000000
14,B2,1.245301,33.396605,0.997164,0.100000,0.878391,120.000000,4.000000,0.123391,0.000000
15,B3,1.326723,31.347026,0.996133,0.100000,0.858391,120.000000,4.000000,0.123391,0.000000
16,B4,1.394877,29.815402,0.998921,0.101000,0.822391,120.000000,4.000000,0.116391,0.000000
17,B5,1.423456,29.216806,0.998601,0.101000,0.821391,120.000000,4.000000,0.112391,0.000000
18,B6,1.287780,32.294988,0.993175,0.099000,0.809391,135.000000,4.000000,0.144391,0.000000
19,B7,1.445374,28.773741,0.998600,0.100000,0.806391,120.000000,4.000000,0.109391,0.000000
20,B8,1.299250,32.009869,0.993256,0.099000,0.817391,135.000000,4.000000,0.141391,0.000000
21,B9,1.428285,29.118023,0.998559,0.100000,0.811391,120.000000,4.000000,0.106391,0.000000
22,B10,1.439766,28.885835,0.998660,0.100000,0.827391,120.000000,4.000000,0.115391,0.000000
23,B11,1.373107,30.288126,0.996392,0.100000,0.836391,120.000000,4.000000,0.130391,0.000000
24,B12,1.428518,29.113268,0.998722,0.099000,0.806391,120.000000,4.000000,0.110391,0.000000
25,C1,1.397744,29.754251,0.998294,0.100000,0.797391,120.000000,4.000000,0.115391,0.000000
26,C2,1.220533,34.074329,0.999017,0.101000,0.900000,90.000000,4.000000,0.100391,0.000000
27,C3,1.257244,33.079364,0.998607,0.101000,0.899391,105.000000,4.000000,0.125391,0.000000
28,C4,1.284372,32.380674,0.999232,0.102000,0.900000,120.000000,4.000000,0.148391,0.000000
29,C5,1.361272,30.551458,0.994237,0.101000,0.848391,120.000000,4.000000,0.133391,0.000000
30,C6,1.408030,29.536897,0.996603,0.101000,0.839391,120.000000,4.000000,0.128391,0.000000
31,C7,1.363253,30.507049,0.996293,0.101000,0.815391,120.000000,4.000000,0.125391,0.000000
32,C8,1.464365,28.400593,0.998492,0.099000,0.799391,120.000000,4.000000,0.112391,0.000000
33,C9,1.415759,29.375639,0.997807,0.100000,0.858391,120.000000,4.000000,0.123391,0.000000
34,C10,1.424626,29.192803,0.996461,0.099000,0.845391,120.000000,4.000000,0.125391,0.000000
35,C11,1.397921,29.750489,0.996871,0.100000,0.847391,120.000000,4.000000,0.127391,0.000000
36,C12,1.347607,30.861253,0.995266,0.100000,0.841391,120.000000,4.000000,0.133391,0.000000
37,D1,1.279241,32.510542,0.995318,0.099000,0.798391,135.000000,4.000000,0.140391,0.000000
38,D2,1.179662,35.254877,0.998575,0.099000,0.900000,90.000000,4.000000,0.093391,0.000000
39,D3,1.136687,36.587767,0.998419,0.099000,0.900000,90.000000,4.000000,0.091391,0.000000
40,D4,1.304987,31.869145,0.999122,0.099000,0.900000,120.000000,4.000000,0.138391,0.000000
41,D5,1.458616,28.512528,0.999081,0.099000,0.842391,120.000000,4.000000,0.109391,0.000000
42,D6,1.432213,29.038156,0.998312,0.100000,0.808391,120.000000,4.000000,0.115391,0.000000
43,D7,1.468371,28.323112,0.998072,0.099000,0.798391,120.000000,4.000000,0.111391,0.000000
44,D8,1.312803,31.679407,0.988393,0.098000,0.721391,135.000000,4.000000,0.151391,0.000000
45,D9,1.321064,31.481324,0.994193,0.099000,0.815391,135.000000,4.000000,0.134391,0.000000
46,D10,1.424970,29.185755,0.998128,0.099000,0.802391,120.000000,4.000000,0.119391,0.000000
47,D11,1.448623,28.709219,0.997659,0.099000,0.833391,120.000000,4.000000,0.121391,0.000000
48,D12,1.431203,29.058649,0.998925,0.100000,0.811391,120.000000,4.000000,0.112391,0.000000
49,E1,1.344434,30.934070,0.998146,0.099000,0.753391,135.000000,4.000000,0.120391,0.000000
50,E2,1.109457,37.485745,0.998534,0.099000,0.900000,105.000000,4.000000,0.117391,0.000000
51,E3,1.160150,35.847808,0.997614,0.099000,0.900000,105.000000,4.000000,0.121391,0.000000
52,E4,1.314069,31.648901,0.998931,0.100000,0.894391,120.000000,4.000000,0.141391,0.000000
53,E5,1.316726,31.585024,0.992842,0.099000,0.807391,135.000000,4.000000,0.136391,0.000000
54,E6,1.448310,28.715412,0.998653,0.099000,0.797391,120.000000,4.000000,0.107391,0.000000
55,E7,1.426043,29.163800,0.997382,0.100000,0.813391,120.000000,4.000000,0.122391,0.000000
56,E8,1.304669,31.876917,0.992039,0.099000,0.814391,135.000000,4.000000,0.142391,0.000000
57,E9,1.352523,30.749081,0.995675,0.099000,0.796391,135.000000,4.000000,0.127391,0.000000
58,E10,1.441701,28.847055,0.999067,0.100000,0.804391,120.000000,4.000000,0.108391,0.000000
59,E11,1.301777,31.947741,0.993189,0.099000,0.817391,135.000000,4.000000,0.139391,0.000000
60,E12,1.283612,32.399853,0.992353,0.098000,0.786391,135.000000,4.000000,0.142391,0.000000
61,F1,1.326104,31.361669,0.997042,0.101000,0.815391,120.000000,4.000000,0.132391,0.000000
62,F2,1.220951,34.062665,0.998394,0.099000,0.900000,90.000000,4.000000,0.099391,0.000000
63,F3,1.287271,32.307755,0.998440,0.099000,0.900000,105.000000,4.000000,0.117391,0.000000
64,F4,1.311603,31.708396,0.999277,0.100000,0.900000,120.000000,4.000000,0.136391,0.000000
65,F5,1.396389,29.783121,0.997668,0.100000,0.808391,120.000000,4.000000,0.124391,0.000000
66,F6,1.411047,29.473734,0.997529,0.099000,0.811391,120.000000,4.000000,0.123391,0.000000
67,F7,1.434734,28.987140,0.998519,0.099000,0.800391,120.000000,4.000000,0.117391,0.000000
68,F8,1.324622,31.396758,0.994623,0.100000,0.840391,120.000000,4.000000,0.138391,0.000000
69,F9,1.376841,30.205980,0.996527,0.100000,0.844391,120.000000,4.000000,0.128391,0.000000
70,F10,1.399592,29.714966,0.996937,0.100000,0.841391,120.000000,4.000000,0.125391,0.000000
71,F11,1.309741,31.753487,0.994770,0.101000,0.850391,120.000000,4.000000,0.141391,0.000000
72,F12,1.338331,31.075143,0.995677,0.100000,0.814391,120.000000,4.000000,0.130391,0.000000
73,G1,1.396600,29.778637,0.996968,0.099000,0.775391,120.000000,4.000000,0.110391,0.000000
74,G2,1.269185,32.768138,0.999521,0.099000,0.900000,120.000000,4.000000,0.150391,0.000000
75,G3,1.375061,30.245082,0.998303,0.099000,0.835391,120.000000,4.000000,0.126391,0.000000
76,G4,1.448623,28.709219,0.997659,0.099000,0.815391,120.000000,4.000000,0.121391,0.000000
77,G5,1.355229,30.687683,0.996029,0.100000,0.833391,120.000000,4.000000,0.131391,0.000000
78,G6,1.400602,29.693540,0.997747,0.100000,0.816391,120.000000,4.000000,0.122391,0.000000
79,G7,1.327160,31.336721,0.993570,0.100000,0.837391,120.000000,4.000000,0.141391,0.000000
80,G8,1.300777,31.972291,0.993926,0.101000,0.850391,120.000000,4.000000,0.145391,0.000000
81,G9,1.368706,30.385514,0.995857,0.100000,0.846391,120.000000,4.000000,0.130391,0.000000
82,G10,1.300376,31.982161,0.994980,0.100000,0.847391,120.000000,4.000000,0.140391,0.000000
83,G11,1.368706,30.385514,0.995857,0.100000,0.839391,120.000000,4.000000,0.130391,0.000000
84,G12,1.378823,30.162564,0.997462,0.100000,0.807391,120.000000,4.000000,0.123391,0.000000
85,H1,1.360927,30.559193,0.998170,0.100000,0.794391,120.000000,4.000000,0.115391,0.000000
86,H2,1.339700,31.043394,0.997694,0.101000,0.814391,120.000000,4.000000,0.126391,0.000000
87,H3,1.395102,29.810594,0.998139,0.100000,0.794391,120.000000,4.000000,0.115391,0.000000
88,H4,1.432213,29.038156,0.998312,0.099000,0.825391,120.000000,4.000000,0.115391,0.000000
89,H5,1.414239,29.407219,0.998336,0.098000,0.831391,120.000000,4.000000,0.118391,0.000000
90,H6,1.406826,29.562162,0.997956,0.099000,0.794391,120.000000,4.000000,0.118391,0.000000
91,H7,1.360976,30.558103,0.997498,0.100000,0.819391,120.000000,4.000000,0.126391,0.000000
92,H8,1.461590,28.454521,0.998615,0.098000,0.814391,120.000000,4.000000,0.112391,0.000000
93,H9,1.423853,29.208647,0.998768,0.098000,0.808391,120.000000,4.000000,0.116391,0.000000
94,H10,1.424970,29.185755,0.998128,0.098000,0.824391,120.000000,4.000000,0.119391,0.000000
95,H11,1.474296,28.209280,0.998231,0.098000,0.828391,120.000000,4.000000,0.109391,0.000000
