id,well,mu_hourly,doubling_time_min,r_sqrd,min_OD,max_OD,window_start_time_min,delta,max_slope_od,warnings
1,A1,1.307420,31.809839,0.996735,0.098000,0.900000,150.000000,4.000000,0.131547,0.000000
2,A2,1.276314,32.585106,0.996256,0.098000,0.900000,150.000000,4.000000,0.135547,0.000000
3,A3,1.392005,29.876917,0.998806,0.098000,0.900000,135.000000,4.000000,0.108547,0.000000
4,A4,1.251931,33.219748,0.994970,0.098000,0.900000,150.000000,4.000000,0.138547,0.000000
5,A5,1.383440,30.061895,0.997770,0.099000,0.900000,135.000000,4.000000,0.117547,0.000000
6,A6,1.355655,30.678028,0.998159,0.096000,0.900000,150.000000,4.000000,0.125547,0.000000
7,A7,1.417381,29.342020,0.998182,0.097000,0.900000,135.000000,4.000000,0.106547,0.000000
8,A8,1.416690,29.356333,0.999024,0.098000,0.900000,135.000000,4.000000,0.107547,0.000000
9,A9,1.343211,30.962253,0.996258,0.097000,0.900000,150.000000,4.000000,0.130547,0.000000
10,A10,1.411546,29.463315,0.997133,0.097000,0.900000,135.000000,4.000000,0.113547,0.000000
11,A11,1.377236,30.197321,0.996545,0.098000,0.900000,135.000000,4.000000,0.124547,0.000000
12,A12,1.387359,29.976968,0.999310,0.098000,0.900000,135.000000,4.000000,0.111547,0.000000
13,B1,1.316110,31.599809,0.996002,0.097000,0.900000,150.000000,4.000000,0.128547,0.000000
14,B2,1.263805,32.907645,0.983663,0.101000,0.900000,120.000000,4.000000,0.107547,0.000000
15,B3,1.316520,31.589962,0.985424,0.099000,0.900000,120.000000,4.000000,0.114547,0.000000
16,B4,1.338144,31.079477,0.997183,0.098000,0.900000,135.000000,4.000000,0.127547,0.000000
17,B5,1.320175,31.502511,0.996578,0.098000,0.900000,135.000000,4.000000,0.130547,0.000000
18,B6,1.353043,30.737259,0.995507,0.098000,0.900000,135.000000,4.000000,0.127547,0.000000
19,B7,1.350899,30.786047,0.996948,0.099000,0.900000,135.000000,4.000000,0.128547,0.000000
20,B8,1.375313,30.239544,0.997297,0.098000,0.900000,135.000000,4.000000,0.125547,0.000000
21,B9,1.407920,29.539209,0.998855,0.098000,0.900000,135.000000,4.000000,0.115547,0.000000
22,B10,1.419894,29.290093,0.997835,0.099000,0.900000,135.000000,4.000000,0.117547,0.000000
23,B11,1.434779,28.986224,0.998251,0.097000,0.900000,135.000000,4.000000,0.109547,0.000000
24,B12,1.280838,32.470004,0.993360,0.097000,0.900000,150.000000,4.000000,0.137547,0.000000
25,C1,1.370071,30.355234,0.997807,0.096000,0.900000,150.000000,4.000000,0.112547,0.000000
26,C2,1.181265,35.207038,0.998265,0.097000,0.900000,105.000000,4.000000,0.099547,0.000000
27,C3,1.036554,40.122218,0.998072,0.095000,0.900000,120.000000,4.000000,0.109547,0.000000
28,C4,1.328403,31.307398,0.995123,0.098000,0.900000,120.000000,4.000000,0.112547,0.000000
29,C5,1.322286,31.452228,0.994445,0.097000,0.900000,135.000000,4.000000,0.130547,0.000000
30,C6,1.349894,30.808950,0.996165,0.098000,0.900000,135.000000,4.000000,0.126547,0.000000
31,C7,1.322099,31.456668,0.995707,0.097000,0.900000,135.000000,4.000000,0.124547,0.000000
32,C8,1.369138,30.375921,0.995743,0.098000,0.900000,135.000000,4.000000,0.122547,0.000000
33,C9,1.427076,29.142694,0.998045,0.097000,0.900000,135.000000,4.000000,0.113547,0.000000
34,C10,1.434779,28.986224,0.998251,0.098000,0.900000,135.000000,4.000000,0.109547,0.000000
35,C11,1.433167,29.018838,0.997638,0.097000,0.900000,135.000000,4.000000,0.116547,0.000000
36,C12,1.342589,30.976583,0.994911,0.096000,0.900000,150.000000,4.000000,0.129547,0.000000
37,D1,1.351809,30.765308,0.997635,0.097000,0.900000,150.000000,4.000000,0.113547,0.000000
38,D2,1.024193,40.606459,0.999255,0.097000,0.900000,105.000000,4.000000,0.114547,0.000000
39,D3,1.100039,37.806685,0.998524,0.097000,0.900000,105.000000,4.000000,0.121547,0.000000
40,D4,1.208667,34.408835,0.997579,0.098000,0.900000,120.000000,4.000000,0.133547,0.000000
41,D5,1.338224,31.077628,0.998077,0.098000,0.900000,135.000000,4.000000,0.130547,0.000000
42,D6,1.339490,31.048265,0.995697,0.097000,0.900000,135.000000,4.000000,0.128547,0.000000
43,D7,1.332433,31.212704,0.995101,0.097000,0.900000,135.000000,4.000000,0.128547,0.000000
44,D8,1.362245,30.529636,0.995070,0.095000,0.900000,150.000000,4.000000,0.130547,0.000000
45,D9,1.422092,29.244818,0.999057,0.097000,0.900000,135.000000,4.000000,0.107547,0.000000
46,D10,1.424461,29.196182,0.997929,0.097000,0.900000,135.000000,4.000000,0.113547,0.000000
47,D11,1.275898,32.595734,0.993894,0.097000,0.900000,150.000000,4.000000,0.139547,0.000000
48,D12,1.274733,32.625523,0.994943,0.097000,0.900000,150.000000,4.000000,0.134547,0.000000
49,E1,1.342295,30.983373,0.997244,0.097000,0.900000,150.000000,4.000000,0.117547,0.000000
50,E2,1.141544,36.432085,0.996074,0.098000,0.900000,90.000000,4.000000,0.092547,0.000000
51,E3,1.140181,36.475654,0.998652,0.099000,0.900000,105.000000,4.000000,0.111547,0.000000
52,E4,1.308297,31.788529,0.998142,0.098000,0.900000,120.000000,4.000000,0.111547,0.000000
53,E5,1.345201,30.916435,0.997644,0.098000,0.900000,135.000000,4.000000,0.127547,0.000000
54,E6,1.313399,31.665041,0.996276,0.098000,0.900000,135.000000,4.000000,0.128547,0.000000
