ID,plasmid,tx,desc,set,Vector_type,donor_type,cassette
a1,254,1,gfp/yfp,1,"ColE1, pL_lac0",GFP control,GFP
a2,279,2,scramble/empty,1,"ColE1, pL_lac0",Scrambled control,Retron
a3,pMS_131,3,rpoB1547A.G,1,"ColE1, pL_lac0",rpoB allele,Retron
a4,pMS_135,4,gyrA_248C_T,1,"ColE1, pL_lac0",gyrA allele,Retron
a5,pMS_271,5,lacZ_KO,1,"ColE1, pL_lac0",lacZ allele,Retron
a6,pMS_297,6,A_1714_C,1,"ColE1, pL_lac0",rpoB allele,Retron
a7,pMS_298,7,C_1721_A,1,"ColE1, pL_lac0",rpoB allele,Retron
a8,pMS_299,8,G_1546_T,1,"ColE1, pL_lac0",rpoB allele,Retron
a9,pMS_300,9,A_443_T,1,"ColE1, pL_lac0",rpoB allele,Retron
a10,pms_380,10,C_1535_T,1,"ColE1, pL_lac0",rpoB allele,Retron
a11,pms_381,11,A_1538_C,1,"ColE1, pL_lac0",rpoB allele,Retron
a12,pms_382,12,1594delete12,1,"ColE1, pL_lac0",rpoB allele,Retron
a13,pMS_137,13,gyrA_248C_T_OTHERSTRAND,1,"ColE1, pL_lac0",gyrA allele,Retron
b1,287,1,gfp/yfp,2,"Sc101, pBAD",GFP control,GFP
b2,pMS_335,2,scramble/empty,2,"Sc101, pBAD",Scrambled control,Retron
b3,pMS_324,3,rpoB1547A.G,2,"Sc101, pBAD",rpoB allele,Retron
b4,pMS_325,4,gyrA_248C_T,2,"Sc101, pBAD",gyrA allele,Retron
b5,pMS_334,5,lacZ_KO,2,"Sc101, pBAD",lacZ allele,Retron
b6,pms_377,6,A_1714_C,2,"Sc101, pBAD",rpoB allele,Retron
b7,pMS_343,7,C_1721_A,2,"Sc101, pBAD",rpoB allele,Retron
b8,pms_378,8,G_1546_T,2,"Sc101, pBAD",rpoB allele,Retron
b9,pMS_326,9,A_443_T,2,"Sc101, pBAD",rpoB allele,Retron
b10,pMS_328,10,C_1535_T,2,"Sc101, pBAD",rpoB allele,Retron
b11,pMS_329,11,A_1538_C,2,"Sc101, pBAD",rpoB allele,Retron
b12,pMS_330,12,1594delete12,2,"Sc101, pBAD",rpoB allele,Retron
b13,pMS_342,13,gyrA_248C_T_OTHERSTRAND,2,"Sc101, pBAD",gyrA allele,Retron
