start,ERGO_ID,Gene,E/N,length,transposon_insertions,assertion_error,SP_ID,functional_role,blattner_id,ERGO,eri
190,REC00001,thrL,?,21,-,,P03059,Thr operon leader peptide,b0001,RCD,0.00
337,REC00002,thrA,N,820,"101, 130, 218, 291, 315, 401",,P00561,Bifunctional aspartokinase/homoserine dehydrogenase I,b0002,AAM,0.78
2801,REC00003,thrB,X,310,"291, 309",,P00547,Homoserine kinase (EC 2.7.1.39),b0003,AAM,0.56
3734,REC00004,thrC,N,428,"167, 222, 317, 384",,P00934,Threonine synthase (EC 4.2.3.1),b0004,NCM,0.81
5234,REC00005,yaaX,N,98,"23, 49",,P75616,Hypothetical protein yaaX precursor,b0005,UNC,0.00
6459,REC04286,yaaA,N,258,69,,P11288,Protein yaaA,b0006,UNC,0.25
7959,REC04287,yaaJ,N,476,"81, 225, 311",,P30143,Putative transporter yaaJ,b0007,UNC,0.50
8238,REC00008,talB,N,317,"48, 78, 114, 183",,P30148,Transaldolase B (EC 2.2.1.2),b0008,CHM,0.78
9306,REC00009,mog,E,195,-,< 0.1,P28694,Molybdopterin biosynthesis mog protein,b0009,NCM,0.63
10494,REC04288,yaaH,N,188,"27, 103, 170",,P28695,Hypothetical protein yaaH,b0010,UNC,0.03
11356,REC04289,yaaW,N,237,"49, 80, 109, 221, 226",,P75617,Hypothetical protein yaaW,b0011,UNC,0.13
11786,REC04290,yaaI,N,134,"64, 88",,P28696,Hypothetical protein yaaI precursor,b0013,UNC,0.00
12163,REC00014,dnaK,E,638,"9, 581",< 0.001,P04475,Chaperone protein dnaK,b0014,PMS,1.00
14168,REC00015,dnaJ,N,376,"97, 154, 199, 250, 328, 335, 347",,P08622,Chaperone protein dnaJ,b0015,PMS,1.00
15445,REC06563,,N,370,"19, 107, 223, 295, 339",,P08409,Putative transposase insL for insertion sequence element IS186A/B/C,b0016,UNC,0.00
16960,REC04292,hokC,N,69,40,,P22982,HokC protein,b0018.1,UNC,0.00
